year,country,dairy_produce,aquatic_produce,fruit_produce,meat_produce,vegetable_produce,all_trade,GDP,avg_GDP,vacc_rate,freight,inflation,Country Code,death_rate,FTA,Asia,Africa,North_America,South_America,Europe,Oceania
2018,Cuba,19035966.864,0.0,0.0,0.0,0.0,19035966.864,100050036096.123,8831.91040872027,0.0,21.337823069035505,2.4503624385017,CUB,0.0,0,0,0,1,0,0,0
2018,Cyprus,1098.977,1575045.037,0.0,8385818.602,0.0,9961962.616,25597301190.9231,29419.88671875,0.0,26.18191343789029,1.43549119531759,CYP,0.0,0,1,0,0,0,0,0
2018,Cyprus,1098.977,1575045.037,0.0,8385818.602,0.0,9961962.616,25597301190.9231,29419.88671875,0.0,26.18191343789029,1.43549119531759,CYP,0.0,0,1,0,0,0,0,0
2018,Denmark,32395632.43,3244615.282,2094392.163,12828926.078,0.0,50563565.953,356841216410.068,61591.9288698958,0.0,51.52791776927047,0.813609467455631,DNK,0.0,0,0,0,0,0,1,0
2018,Denmark,32395632.43,3244615.282,2094392.163,12828926.078,0.0,50563565.953,356841216410.068,61591.9288698958,0.0,51.52791776927047,0.813609467455631,DNK,0.0,0,0,0,0,0,1,0
2018,Ecuador,0.0,1025151.748,0.0,0.0,0.0,1025151.748,107478962000.0,6316.46884119534,0.0,18.761897672628844,-0.224103246005552,ECU,0.0,0,0,0,0,1,0,0
2018,Ecuador,0.0,1025151.748,0.0,0.0,0.0,1025151.748,107478962000.0,6316.46884119534,0.0,18.761897672628844,-0.224103246005552,ECU,0.0,0,0,0,0,1,0,0
2018,El Salvador,7473432.59,0.0,194736.55,0.0,0.0,7668169.14,26020850000.0,4145.86235103186,0.0,17.324773569951738,1.09033000581892,SLV,0.0,0,0,0,1,0,0,0
2018,El Salvador,7473432.59,0.0,194736.55,0.0,0.0,7668169.14,26020850000.0,4145.86235103186,0.0,17.324773569951738,1.09033000581892,SLV,0.0,0,0,0,1,0,0,0
2018,Estonia,0.0,483679.563,0.0,704198.424,0.0,1187877.987,30624720196.229,23165.8494786437,0.0,29.84787233459484,3.43632688420446,EST,0.0,0,0,0,0,0,1,0
2018,Estonia,0.0,483679.563,0.0,704198.424,0.0,1187877.987,30624720196.229,23165.8494786437,0.0,29.84787233459484,3.43632688420446,EST,0.0,0,0,0,0,0,1,0
2018,Fiji,41760354.269,1945414.226,4322843.611,28381366.522,24149286.235,100559264.863,5581425327.44397,6073.39458217878,0.0,32.373909358244504,4.08147637644526,FJI,0.0,0,0,0,0,0,0,1
2018,Fiji,41760354.269,1945414.226,4322843.611,28381366.522,24149286.235,100559264.863,5581425327.44397,6073.39458217878,0.0,32.373909358244504,4.08147637644526,FJI,0.0,0,0,0,0,0,0,1
2018,France,10298137.398,17037840.535,3788541.803,91015224.03,2852753.673,124992497.439,2790956878746.66,41557.8548588876,0.0,15.502503863838783,1.85081508315502,FRA,0.0,0,0,0,0,0,1,0
2018,France,10298137.398,17037840.535,3788541.803,91015224.03,2852753.673,124992497.439,2790956878746.66,41557.8548588876,0.0,15.502503863838783,1.85081508315502,FRA,0.0,0,0,0,0,0,1,0
2018,Georgia,19901170.305,1271561.016,0.0,0.0,0.0,21172731.321,17902544880.6471,4804.0546040444,0.0,22.175680734314675,2.6152447139767,GEO,0.0,0,1,0,0,0,0,0
2018,Georgia,19901170.305,1271561.016,0.0,0.0,0.0,21172731.321,17902544880.6471,4804.0546040444,0.0,22.175680734314675,2.6152447139767,GEO,0.0,0,1,0,0,0,0,0
2018,Ghana,13201884.724,5442361.195,0.0,907604.144,0.0,19551850.063,67298914624.3723,2180.02971251463,0.0,5.990398847844759,7.80876516610703,GHA,0.0,0,0,1,0,0,0,0
2018,Ghana,13201884.724,5442361.195,0.0,907604.144,0.0,19551850.063,67298914624.3723,2180.02971251463,0.0,5.990398847844759,7.80876516610703,GHA,0.0,0,0,1,0,0,0,0
2018,Greece,5938921.52,17546571.374,136228.831,23433953.218,0.0,47055674.943,212049447242.111,19756.990456255,0.0,45.04247259760127,0.62562141345364,GRC,0.0,0,0,0,0,0,1,0
2018,Greece,5938921.52,17546571.374,136228.831,23433953.218,0.0,47055674.943,212049447242.111,19756.990456255,0.0,45.04247259760127,0.62562141345364,GRC,0.0,0,0,0,0,0,1,0
2018,Guam,2742393.076,455982.011,193674.298,1121421.046,127553.424,4641023.8549999995,6051000000.0,35873.0836267919,0.0,21.337823069035505,2.4503624385017,GUM,0.0,0,0,0,0,0,0,1
2018,Guam,2742393.076,455982.011,193674.298,1121421.046,127553.424,4641023.8549999995,6051000000.0,35873.0836267919,0.0,21.337823069035505,2.4503624385017,GUM,0.0,0,0,0,0,0,0,1
2018,Guinea,296024.002,241761.828,0.0,0.0,0.0,537785.83,11857030367.2441,944.417268657317,0.0,1.2375012375012375,9.82761701259191,GIN,0.0,0,0,1,0,0,0,0
2018,Guinea,296024.002,241761.828,0.0,0.0,0.0,537785.83,11857030367.2441,944.417268657317,0.0,1.2375012375012375,9.82761701259191,GIN,0.0,0,0,1,0,0,0,0
2018,Haiti,172848.471,0.0,0.0,0.0,0.0,172848.471,16403864617.8458,1489.57841494125,0.0,0.21059668616433733,12.4814111170435,HTI,0.0,0,0,0,1,0,0,0
2018,Haiti,172848.471,0.0,0.0,0.0,0.0,172848.471,16403864617.8458,1489.57841494125,0.0,0.21059668616433733,12.4814111170435,HTI,0.0,0,0,0,1,0,0,0
2018,Hungary,9425.15,55949.444,0.0,0.0,69715.762,135090.356,160565642983.587,16425.2050299693,0.0,24.638724743335445,2.85024792594646,HUN,0.0,0,0,0,0,0,1,0
2018,Hungary,9425.15,55949.444,0.0,0.0,69715.762,135090.356,160565642983.587,16425.2050299693,0.0,24.638724743335445,2.85024792594646,HUN,0.0,0,0,0,0,0,1,0
2018,India,722915.683,88087.253,47266921.79,1126714.984,1494376.227,50699015.93699999,2702929641648.14,1974.37773145023,0.0,9.298540791078079,3.9388264669163,IND,0.0,0,1,0,0,0,0,0
2018,India,722915.683,88087.253,47266921.79,1126714.984,1494376.227,50699015.93699999,2702929641648.14,1974.37773145023,0.0,9.298540791078079,3.9388264669163,IND,0.0,0,1,0,0,0,0,0
2018,Iraq,385625.294,0.0,0.0,0.0,13651.986,399277.27999999997,227367469034.031,5601.46706102705,0.0,18.230138535482045,0.367441488936849,IRQ,0.0,0,1,0,0,0,0,0
